"X";"Well";"WellType";"Replicate";"ThresholddRn";"CtdRn";"Quantitycopies";"RSqdRn";"SlopedRn";"qPCRno";"ProjectNm";"AssIDNo";"spcabbr";"pltno";"qpcrmach";"qpcrrundate";"replno";"smplno";"templvol";"Fixated";"bufferadded";"inctmp";"inctime";"Typesmpl";"templ.vol2";"smplno2";"col.06"
"1";1;"A1";"Standard";1;0.1427;24.92;30000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";1;"3E4";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#FF0000"
"2";2;"A2";"Standard";1;0.1427;25.01;30000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";1;"3E4";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#FF0000"
"3";3;"A3";"Standard";1;0.1427;25.06;30000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";1;"3E4";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#FF0000"
"4";4;"B1";"Standard";2;0.1427;28.75;3000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";2;"3E3";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#FF0000"
"5";5;"B2";"Standard";2;0.1427;28.84;3000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";2;"3E3";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#FF0000"
"6";6;"B3";"Standard";2;0.1427;28.43;3000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";2;"3E3";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#FF0000"
"7";7;"C1";"Standard";3;0.1427;31.82;300;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";3;"3E2";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#FF0000"
"8";8;"C2";"Standard";3;0.1427;31.97;300;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";3;"3E2";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#FF0000"
"9";9;"C3";"Standard";3;0.1427;32.04;300;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";3;"3E2";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#FF0000"
"10";10;"D1";"Standard";4;0.1427;35.84;30;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";4;"3E1";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#FF0000"
"11";11;"D2";"Standard";4;0.1427;35.87;30;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";4;"3E1";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#FF0000"
"12";12;"D3";"Standard";4;0.1427;35.52;30;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";4;"3E1";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#FF0000"
"13";13;"E1";"Standard";5;0.1427;37.47;3;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";5;"3E0";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#FF0000"
"14";14;"E2";"Standard";5;0.1427;39.53;3;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";5;"3E0";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#FF0000"
"15";15;"E3";"Standard";5;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";5;"3E0";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#FF0000"
"16";16;"F1";"Standard";6;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";6;"3E-1";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#FF0000"
"17";17;"F2";"Standard";6;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";6;"3E-1";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#FF0000"
"18";18;"F3";"Standard";6;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";6;"3E-1";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#FF0000"
"19";19;"G1";"Standard";7;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";7;"3E-2";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#FF0000"
"20";20;"G2";"Standard";7;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";7;"3E-2";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#FF0000"
"21";21;"G3";"Standard";7;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";7;"3E-2";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#FF0000"
"22";22;"H1";"NTC";8;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";8;"NTC";"3uL";NA;NA;NA;NA;NA;3;"NTC";"#FF2300"
"23";23;"H2";"NTC";8;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";8;"NTC";"3uL";NA;NA;NA;NA;NA;3;"NTC";"#FF2300"
"24";24;"H3";"NTC";8;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";8;"NTC";"3uL";NA;NA;NA;NA;NA;3;"NTC";"#FF2300"
"25";25;"A4";"Unknown";9;0.1427;31.65;377.8;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";9;"FNE001";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Blank";3;"FNE001";"#00000000"
"26";26;"A5";"Unknown";9;0.1427;31.59;393.4;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";9;"FNE001";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Blank";3;"FNE001";"#00000000"
"27";27;"A6";"Unknown";9;0.1427;31.5;418.8;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";9;"FNE001";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Blank";3;"FNE001";"#00000000"
"28";28;"A7";"Unknown";9;0.1427;31.7;365.6;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";9;"FNE001";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Blank";3;"FNE001";"#00000000"
"29";29;"A8";"Unknown";9;0.1427;31.87;326.9;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";9;"FNE001";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Blank";3;"FNE001";"#00000000"
"30";30;"A9";"Unknown";9;0.1427;31.76;351.1;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";9;"FNE001";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Blank";3;"FNE001";"#00000000"
"31";31;"B4";"Unknown";10;0.1427;31.98;302.4;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";10;"FNE002";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Blank";3;"FNE002";"#FF6800"
"32";32;"B5";"Unknown";10;0.1427;32.07;286.1;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";10;"FNE002";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Blank";3;"FNE002";"#FF6800"
"33";33;"B6";"Unknown";10;0.1427;32.4;229.6;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";10;"FNE002";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Blank";3;"FNE002";"#FF6800"
"34";34;"B7";"Unknown";10;0.1427;32.26;251.3;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";10;"FNE002";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Blank";3;"FNE002";"#FF6800"
"35";35;"B8";"Unknown";10;0.1427;32.12;275.6;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";10;"FNE002";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Blank";3;"FNE002";"#FF6800"
"36";36;"B9";"Unknown";10;0.1427;32.07;286.1;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";10;"FNE002";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Blank";3;"FNE002";"#FF6800"
"37";37;"C4";"Unknown";11;0.1427;32.05;289.9;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";11;"FNE003";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Blank";3;"FNE003";"#FF8B00"
"38";38;"C5";"Unknown";11;0.1427;32.19;264.4;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";11;"FNE003";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Blank";3;"FNE003";"#FF8B00"
"39";39;"C6";"Unknown";11;0.1427;32.09;282.6;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";11;"FNE003";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Blank";3;"FNE003";"#FF8B00"
"40";40;"C7";"Unknown";11;0.1427;31.86;328.8;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";11;"FNE003";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Blank";3;"FNE003";"#FF8B00"
"41";41;"C8";"Unknown";11;0.1427;32.07;284.7;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";11;"FNE003";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Blank";3;"FNE003";"#FF8B00"
"42";42;"C9";"Unknown";11;0.1427;32.21;259.6;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";11;"FNE003";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Blank";3;"FNE003";"#FF8B00"
"43";43;"D4";"Unknown";12;0.1427;19.85;1040000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";12;"FNE004";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Boette - konsentrat";3;"FNE004";"#FFAE00"
"44";44;"D5";"Unknown";12;0.1427;19.84;1048000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";12;"FNE004";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Boette - konsentrat";3;"FNE004";"#FFAE00"
"45";45;"D6";"Unknown";12;0.1427;19.99;945300;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";12;"FNE004";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Boette - konsentrat";3;"FNE004";"#FFAE00"
"46";46;"D7";"Unknown";12;0.1427;19.99;945100;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";12;"FNE004";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Boette - konsentrat";3;"FNE004";"#FFAE00"
"47";47;"D8";"Unknown";12;0.1427;19.83;1051000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";12;"FNE004";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Boette - konsentrat";3;"FNE004";"#FFAE00"
"48";48;"D9";"Unknown";12;0.1427;19.7;1152000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";12;"FNE004";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Boette - konsentrat";3;"FNE004";"#FFAE00"
"49";49;"E4";"Unknown";13;0.1427;19.52;1296000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";13;"FNE005";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Boette - konsentrat";3;"FNE005";"#FFD100"
"50";50;"E5";"Unknown";13;0.1427;19.57;1253000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";13;"FNE005";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Boette - konsentrat";3;"FNE005";"#FFD100"
"51";51;"E6";"Unknown";13;0.1427;19.67;1174000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";13;"FNE005";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Boette - konsentrat";3;"FNE005";"#FFD100"
"52";52;"E7";"Unknown";13;0.1427;19.54;1276000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";13;"FNE005";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Boette - konsentrat";3;"FNE005";"#FFD100"
"53";53;"E8";"Unknown";13;0.1427;19.57;1251000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";13;"FNE005";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Boette - konsentrat";3;"FNE005";"#FFD100"
"54";54;"E9";"Unknown";13;0.1427;19.52;1297000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";13;"FNE005";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Boette - konsentrat";3;"FNE005";"#FFD100"
"55";55;"F4";"Unknown";14;0.1427;19.77;1100000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";14;"FNE006";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Boette - konsentrat";3;"FNE006";"#FFF300"
"56";56;"F5";"Unknown";14;0.1427;19.76;1100000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";14;"FNE006";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Boette - konsentrat";3;"FNE006";"#FFF300"
"57";57;"F6";"Unknown";14;0.1427;19.87;1029000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";14;"FNE006";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Boette - konsentrat";3;"FNE006";"#FFF300"
"58";58;"F7";"Unknown";14;0.1427;19.88;1020000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";14;"FNE006";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Boette - konsentrat";3;"FNE006";"#FFF300"
"59";59;"F8";"Unknown";14;0.1427;19.83;1050000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";14;"FNE006";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Boette - konsentrat";3;"FNE006";"#FFF300"
"60";60;"F9";"Unknown";14;0.1427;19.73;1123000;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";14;"FNE006";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"Boette - konsentrat";3;"FNE006";"#FFF300"
"61";61;"G4";"Unknown";15;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";15;"FNE007";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"Boette - konsentrat";3;"FNE007";"#E8FF00"
"62";62;"G5";"Unknown";15;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";15;"FNE007";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"Boette - konsentrat";3;"FNE007";"#E8FF00"
"63";63;"G6";"Unknown";15;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";15;"FNE007";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"Boette - konsentrat";3;"FNE007";"#E8FF00"
"64";64;"G7";"Unknown";15;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";15;"FNE007";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"Boette - konsentrat";3;"FNE007";"#E8FF00"
"65";65;"G8";"Unknown";15;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";15;"FNE007";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"Boette - konsentrat";3;"FNE007";"#E8FF00"
"66";66;"G9";"Unknown";15;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";15;"FNE007";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"Boette - konsentrat";3;"FNE007";"#E8FF00"
"67";67;"H4";"Unknown";16;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";16;"FNE008";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"Boette - konsentrat";3;"FNE008";"#C5FF00"
"68";68;"H5";"Unknown";16;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";16;"FNE008";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"Boette - konsentrat";3;"FNE008";"#C5FF00"
